strain,phage,interaction
GCA_019995885.1,DAEWLS010000034.1,1
GCA_012257465.1,DABDAX010000060.1,0
GCA_002536645.1,NMCX01000062.1,1
GCA_012730415.1,AASAEV010000036.1,0
GCA_014816205.1,DABWRA010000218.1,1
GCA_004265505.2,AAAGDR020000063.1,1
GCA_011822095.1,AAQXLP010000029.1,1
GCA_012358135.1,AASDWP010000057.1,1
GCA_030378695.1,JAMBZK010000170.1,0
GCA_011913555.1,AAREJW010000061.1,1
GCA_011813625.1,AAQWWW010000042.1,1
GCA_012360615.2,AASIFZ020000054.1,1
GCA_012159225.1,AATDWS010000113.1,0
GCA_012718075.1,ABODOD010000031.1,0
GCA_026260685.1,DAJXYD010000064.1,1
GCA_018175035.1,CAJDCB010000041.1,0
GCA_005045385.1,RREZ01000039.1,1
GCA_020128835.1,JAQNHW010000030.1,0
GCA_019070165.1,ABBBGY010000022.1,1
GCA_011860905.1,AASIMV010000150.1,0
GCA_017236935.1,DABSWN010000100.1,0
GCA_020368865.1,AAVVKM010000074.1,0
GCA_037004925.1,JASMWA010000030.1,1
GCA_024735425.1,ABHOQW010000089.1,1
GCA_011823255.1,AASJRL010000032.1,0
GCA_031445265.1,DADUJB010000070.1,0
GCA_028757245.1,JAIQPM010000060.1,1
GCA_011958825.1,DADGTQ010000033.1,0
GCA_013754125.1,AAUMID010000089.1,1
GCA_021914425.1,JAETJD010000009.1,1
GCA_021499215.1,DAFMKE010000041.1,1
GCA_016403615.1,JAEKHX010000065.1,1
GCA_020321175.1,ABCZDH010000019.1,1
GCA_022020295.1,ABEZCC010000064.1,1
GCA_011813405.1,AAQWWO010000031.1,1
GCA_014861335.1,JACZPP010000090.1,1
GCA_011904955.1,AARDZO010000033.1,1
GCA_014436445.1,AAVVDY010000065.1,1
GCA_005398785.1,CAJDFR010000064.1,0
GCA_012381635.1,AAWZTY010000037.1,0
GCA_012180325.1,DANAXL010000042.1,0
GCA_014862445.1,ABAFJC010000027.1,0
GCA_907165325.1,AAWRAG010000032.1,0
GCA_032705545.1,ABNVUG010000030.1,1
GCA_022364835.1,AASBOK010000105.1,0
GCA_020129195.1,ABCRAE010000079.1,1
GCA_012771835.1,JACVVT010000017.1,0
GCA_023094565.1,JALLWP010000025.1,1
GCA_026232305.1,JAEGPM010000036.1,1
GCA_037906655.1,AARPGQ010000030.1,0
GCA_011832815.1,ABNYOW020000045.1,0
GCA_020314515.1,LVPH01000031.1,0
GCA_017732675.1,DADRXS010000037.1,1
GCA_032304695.1,DAPYRB010000080.1,1
GCA_014114165.1,AAVIFZ010000059.1,1
GCA_022903775.1,AASYRX010000032.1,0
GCA_016990625.1,DADGSQ010000039.1,1
GCA_011908095.1,AARDQT010000061.1,1
GCA_037256165.1,ABQSTF010000054.1,1
GCA_020346445.1,CACSWU020000029.1,0
GCA_018349135.1,AAYNCA010000097.1,0
GCA_025748105.1,ABMYRX010000030.1,0
GCA_036950605.1,DADZZC010000055.1,0
GCA_958303115.1,AARSBH010000032.1,0
GCA_032815205.1,DABUWY010000024.1,0
GCA_012213245.1,AARZJL010000070.1,1
GCA_000326845.1,ANYY01000038.1,1
GCA_032443905.1,AARMCU010000068.1,0
GCA_014213745.1,ABAXJC010000074.1,0
GCA_014558775.1,DABSJG010000062.1,1
GCA_025368455.1,ABIKID010000033.1,1
GCA_012815015.1,AATIAG010000055.1,1
GCA_019758915.1,ABCCSW010000043.1,1
GCA_024571505.1,ABLCHX010000036.1,0
GCA_012051635.1,AARLRZ010000060.1,0
GCA_021271465.1,ABEKPR010000058.1,1
GCA_018683375.1,JAGEWY010000046.1,1
GCA_012882775.1,AATDQR010000033.1,0
GCA_033942865.1,ABPDNY010000031.1,1
GCA_023191355.1,DAHBNA010000070.1,1
GCA_031940005.1,AARBKX010000064.1,0
GCA_021439425.1,ABEPNQ010000045.1,1
GCA_031026265.1,ABLVRS010000074.1,1
GCA_024904535.1,JAAUHQ010000042.1,0
GCA_012443405.1,AASNLT010000062.1,1
GCA_032721915.1,ABEWKB010000070.1,0
GCA_012124775.1,JAVGME010000029.1,0
GCA_020046845.1,ABCOKO010000032.1,1
GCA_024202085.1,ABHADN010000069.1,1
GCA_016569715.1,AAYPYX010000072.1,1
GCA_011915025.1,AARMCU010000068.1,0
GCA_025495735.1,ABERHE010000071.1,0
GCA_021421665.1,BFQK01000140.1,0
GCA_012455985.1,AAQXZR010000095.1,0
GCA_031094825.1,ABLYGK010000033.1,1
GCA_011949565.1,AARGQQ010000033.1,1
GCA_024148745.1,ABGYCC010000043.1,1
GCA_024301825.1,AASYRX010000061.1,0
GCA_009767765.1,WSPT01000020.1,1
GCA_034541415.1,JAXRCY010000161.1,1
GCA_911103945.1,AARUBJ010000052.1,0
GCA_012913725.1,MCEE01000078.1,0
GCA_014546685.1,AARIPA010000037.1,0
GCA_026331555.1,DAKAXT010000069.1,1
GCA_031732075.1,NJUK01000072.1,0
GCA_012180585.1,AARVWK010000044.1,1
GCA_036526815.1,ABQFLD010000033.1,1
GCA_011858285.1,AASNNR010000036.1,0
GCA_028512135.1,ABKMJF010000059.1,1
GCA_011896805.1,AARRUU010000041.1,0
GCA_012422645.1,AASLWR010000029.1,1
GCA_014120405.1,AAVILD010000073.1,1
GCA_003768845.2,RNGY02000063.1,1
GCA_004768185.1,AAQZBX010000031.1,0
GCA_029284055.1,ABLBXC010000093.1,1
GCA_022403215.1,ABFFPJ010000045.1,1
GCA_017023335.1,NKNO01000074.1,0
GCA_012026425.1,AARIGD010000032.1,0
GCA_016450725.1,ABOQGR010000032.1,0
GCA_958316795.1,JAWJJR010000055.1,0
GCA_012882555.1,AATKXC010000044.1,1
GCA_012341165.1,AAZANI010000113.1,0
GCA_012556405.1,AASSIW010000097.1,0
GCA_018305065.1,ABDBEA010000031.1,0
GCA_022976475.1,AASBLX010000032.1,0
GCA_031645015.1,DAPMMJ010000046.1,1
GCA_016975475.1,AAYWSE010000065.1,1
GCA_900479985.1,UCZB01000023.1,1
GCA_019554075.1,AASJYT010000036.1,0
GCA_017817935.1,DADUKA010000060.1,1
GCA_031629955.1,ABMNQZ010000030.1,1
GCA_016975615.1,AAYWSI010000100.1,1
GCA_025720455.1,RNIN02000078.1,0
GCA_012480755.1,AASPQK010000056.1,1
GCA_020543085.1,ABDIJF010000035.1,1
GCA_015654065.1,QRFL01000082.1,0
GCA_012122215.1,AARRTJ010000055.1,1
GCA_012884995.1,AATLAK010000032.1,1
GCA_009880525.1,CATUOS010000010.1,0
GCA_020706555.1,ABDPRJ010000034.1,1
GCA_020558265.1,AASEUP010000095.1,0
GCA_025011285.1,ABIAEH010000030.1,1
GCA_033942385.1,ABPDMX010000032.1,1
GCA_014957845.1,AATCHS010000052.1,0
GCA_022957215.1,WFLG01000084.1,0
GCA_018834525.1,AARTPT010000032.1,0
GCA_001607975.1,LOGX01000177.1,1
GCA_000948435.1,JXVU01000057.1,1
GCA_001617195.1,LVQW01000033.1,1
GCA_030188015.1,JAMSID010000057.1,1
GCA_012017245.1,AARLHU010000060.1,1
GCA_903980465.1,DAGZTU010000072.1,0
GCA_011908095.1,ABQHPA010000093.1,0
GCA_012358135.1,AAVFDX010000034.1,0
GCA_018770625.1,JUBW01000092.1,0
GCA_031674495.1,ABMPVL010000050.1,1
GCA_012122515.1,AARRTI010000045.1,1
GCA_026670015.1,ABJRHA010000036.1,1
GCA_016243615.1,DAIIQH010000064.1,0
GCA_019235275.1,JAPMMQ010000059.1,0
GCA_020619395.1,JAJFOQ010000063.1,0
GCA_012433155.1,AASMTJ010000031.1,1
GCA_028601685.1,ABKOXW010000037.1,1
GCA_026110335.1,ABJIAJ010000061.1,1
GCA_012899525.1,AATLZA010000042.1,1
GCA_012323545.1,AASGNU010000033.1,1
GCA_012418105.1,AASLPR010000090.1,1
GCA_020891795.1,ABDVYW010000075.1,1
GCA_032506645.1,ABKBTG010000037.1,0
GCA_002769535.1,DAJHAJ010000086.1,0
GCA_026110335.1,ABCYXB010000049.1,0
GCA_017722955.1,ABDAUP010000070.1,0
GCA_026065335.1,RRMG01000042.1,0
GCA_012332925.1,AASGVB010000032.1,1
GCA_002457935.1,NJTL01000076.1,1
GCA_012148765.1,AARTPT010000032.1,1
GCA_013044645.1,AATPEN010000064.1,1
GCA_027258575.1,AARSWO010000041.1,0
GCA_032709785.1,ABNVXS010000028.1,1
GCA_012241685.1,DAPZJX010000085.1,0
GCA_958312355.1,AAQWYH010000064.1,0
GCA_020315955.1,ABCYTG010000023.1,1
GCA_037036965.1,BHZP01000045.1,0
GCA_019844355.1,ABCGBT010000032.1,1
GCA_023719135.1,AARMRE010000051.1,0
GCA_012084015.1,AARPBO010000035.1,1
GCA_015707615.1,CACSPX020000042.1,0
GCA_902844685.1,DAFMKF010000040.1,0
GCA_005044175.1,AASUPX010000019.1,0
GCA_032827375.1,ABOBFP010000042.1,1
GCA_016345065.1,ABCYXH010000044.1,0
GCA_012500315.1,AASRGS010000066.1,0
GCA_015134015.1,ABBAWA010000030.1,0
GCA_012467755.1,JAVHIR010000066.1,0
GCA_012671265.1,AASHBS010000032.1,0
GCA_020463545.1,ABDFSO010000112.1,1
GCA_020914625.1,BDKK01000045.1,0
GCA_011821855.1,JAAQIV010000112.1,0
GCA_020280785.1,AAREHQ010000002.1,0
GCA_014527645.1,AAYLCS010000118.1,0
GCA_026066995.1,CAJVNI010000058.1,0
GCA_030200405.1,AAQYJO010000053.1,0
GCA_011896705.1,JBCAQQ010000004.1,0
GCA_900500495.1,UIMQ01000032.1,1
GCA_011844385.1,AAQZAA010000030.1,1
GCA_011851345.1,JACSYI010000063.1,0
GCA_031762125.1,JAVMQS010000019.1,0
GCA_012506895.1,AASRBF010000059.1,1
GCA_012750895.1,AATEOJ010000085.1,1
GCA_025666935.1,AATATJ010000051.1,0
GCA_016855325.1,RNIT02000111.1,0
GCA_035967435.1,DABSVU010000061.1,0
GCA_025225215.1,ABIHAB010000036.1,1
GCA_002766375.1,JAVSTW010000030.1,0
GCA_005044945.1,RRGM01000053.1,1
GCA_012374825.1,DABTIM010000029.1,0
GCA_025475135.1,ABINAY010000030.1,1
GCA_012010865.1,AARKYL010000066.1,1
GCA_034021395.1,JAEJWB010000050.1,0
GCA_019567115.1,AAVVKP010000051.1,0
GCA_014328515.1,CAKKBJ010000025.1,0
GCA_023199715.1,DAHBSD010000070.1,1
GCA_024458955.1,ABHHGX010000079.1,1
GCA_031686565.1,ABMQRI010000032.1,1
GCA_012129795.1,AASILB010000075.1,0
GCA_012335575.1,AASHAW010000045.1,1
GCA_029041115.1,DANTRI010000024.1,1
GCA_012702435.1,DADUKS010000074.1,0
GCA_012553525.1,ABNLUM010000030.1,0
GCA_020316835.1,ABCYUS010000025.1,1
GCA_025688415.1,ABIUFE010000032.1,1
GCA_029361685.1,AATBDI010000031.1,0
GCA_012288035.1,DABDRT010000084.1,0
GCA_012179945.1,AARYPZ010000052.1,0
GCA_014346675.1,AAVPZH010000064.1,1
GCA_011855565.1,AASGJM010000028.1,0
GCA_012440165.1,AASNDC010000030.1,1
GCA_012313205.1,AASGFJ010000062.1,1
GCA_032651085.1,LOGA01000014.1,0
GCA_012191255.1,AARWKE010000069.1,1
GCA_013735075.1,CAJVCA010000040.1,0
GCA_012787615.1,AAXJGG040000062.1,0
GCA_018106665.1,ABAEQZ010000051.1,1
GCA_014608775.1,ABHPMF010000044.1,0
GCA_014782515.1,AAWJPA010000036.1,1
GCA_012824515.1,AATITN010000033.1,1
GCA_958313565.1,CATRYL010000052.1,1
GCA_012796695.1,ABFTME010000043.1,0
GCA_019354075.1,DAFNTV010000035.1,0
GCA_005383065.1,JAOQCU010000050.1,0
GCA_019947915.1,ABCKKV010000032.1,1
GCA_012813795.1,AATHYQ010000001.1,1
GCA_012344415.1,AASHJR010000070.1,1
GCA_011951245.1,WSJG01000016.1,0
GCA_012210685.1,AARZCJ010000030.1,1
GCA_011880395.1,AARBRM010000029.1,1
GCA_012047445.1,AARMRA010000053.1,1
GCA_031545685.1,ABPRCE010000032.1,0
GCA_032814645.1,ABOARH010000039.1,1
GCA_013020565.1,DABFYR010000065.1,1
GCA_031918165.1,ABMWXK010000030.1,1
GCA_027150265.1,ABJWYC010000050.1,1
GCA_025888755.1,AARKUB010000032.1,0
GCA_014623285.1,CAJCTD010000029.1,0
GCA_033684625.1,JAWNAY010000174.1,1
GCA_032264285.1,ABNEZY010000050.1,1
GCA_958319985.1,CATSXL010000050.1,1
GCA_012094405.1,AARPZI010000066.1,1
GCA_019364915.1,JAEOMD010000037.1,1
GCA_012210895.1,AARZEE010000031.1,1
GCA_011943245.1,AARGEI010000030.1,1
GCA_008757125.1,ABIRSF010000031.1,0
GCA_020389845.1,ABCDMO010000042.1,0
GCA_031732295.1,JAVMQM010000021.1,1
GCA_023364715.1,DAHEDR010000113.1,1
GCA_902707965.2,CACSQT020000059.1,1
GCA_024731145.1,JARIKP010000057.1,0
GCA_011911505.1,DADVSZ010000038.1,0
GCA_012127955.1,AARSEN010000087.1,1
GCA_037212495.1,ABQSQY010000056.1,1
GCA_011859145.1,AARACF010000035.1,1
GCA_005038135.1,ABCKQR010000030.1,0
GCA_020543125.1,ABDIJD010000054.1,1
GCA_020389845.1,ABDCZZ010000071.1,1
GCA_024770915.1,DABBBA010000038.1,0
GCA_031631655.1,AASMJT010000030.1,0
GCA_025631665.1,DAJNFG010000058.1,1
GCA_918379535.1,ABABKP010000065.1,0
GCA_012115135.1,AARRFX010000029.1,1
GCA_011605255.1,JAAQFW010000041.1,1
GCA_014683825.1,DABULR010000043.1,1
GCA_028185305.1,ABQNFV010000032.1,0
GCA_018014895.1,DADWHM010000050.1,1
GCA_013772145.1,ABFWBS010000047.1,0
GCA_026308255.1,JAGFFE010000058.1,1
GCA_902828425.1,CADEML010000044.1,1
GCA_012591585.1,AARLET010000056.1,0
GCA_012615165.1,DABBMD010000070.1,1
GCA_023537995.1,AAYXWT010000054.1,0
GCA_012380755.1,AASJDI010000054.1,1
GCA_028603345.2,ABKPBF020000033.1,1
GCA_017023255.1,AASZES010000079.1,0
GCA_033146715.1,AARDQJ010000068.1,0
GCA_023887425.1,ABAPWR010000039.1,0
GCA_015922645.1,AAXTLQ010000032.1,1
GCA_018092985.1,JARIQQ010000045.1,0
GCA_011814405.1,AAQWUK010000033.1,1
GCA_012806555.1,AATCJS010000095.1,0
GCA_013075775.1,AATRCZ010000065.1,1
GCA_023189515.1,AAXCER010000052.1,0
GCA_958331365.1,AASRCL010000046.1,0
GCA_029361205.1,JAOYIR010000044.1,1
GCA_029384635.1,DAQBYV010000027.1,0
GCA_012881215.1,ABHNFJ010000034.1,0
GCA_016846085.1,AAYUPY010000073.1,1
GCA_000951955.1,LK985409.1,1
GCA_017908875.1,AAZYYJ010000058.1,1
GCA_012712605.1,AATCJS010000095.1,1
GCA_017717915.1,JJLU01000060.1,0
GCA_002134265.1,NEOQ01000068.1,1
GCA_021265825.1,ABEKFQ010000030.1,1
GCA_020654855.1,DAJGXO010000037.1,0
GCA_012138625.1,AAQYMT010000050.1,0
GCA_017032735.1,AARINQ010000044.1,0
GCA_035967835.1,JAYWMU010000070.1,1
GCA_012374355.1,JACWWI010000176.1,0
GCA_012742145.1,AAUFOK010000032.1,0
GCA_037931075.1,ABRNDI010000029.1,1
GCA_029314455.1,AAVVGC010000063.1,0
GCA_033664085.1,ABOVXV010000030.1,1
GCA_017048855.1,AAYZWQ010000032.1,1
GCA_016403615.1,ABJRHU010000034.1,0
GCA_026110335.1,JAAVIW010000050.1,0
GCA_958335225.1,CATVEA010000093.1,1
GCA_011850005.1,AAQZKV010000053.1,1
GCA_036178225.1,ABPYOL010000086.1,1
GCA_900481965.1,ABRNQQ010000054.1,0
GCA_012342675.1,AASHHK010000050.1,1
GCA_017268535.1,ABNHCA010000074.1,0
GCA_018032285.1,ABABVS010000036.1,1
GCA_012122155.1,AARRTN010000032.1,1
GCA_025881525.1,DAJQUA010000104.1,1
GCA_011857465.1,AARAAH010000060.1,1
GCA_033381515.1,QGZZ01000177.1,0
GCA_012084015.1,ABOMHZ010000037.1,0
GCA_012336695.1,ABIJGG010000032.1,0
GCA_019181925.1,ABBFNI010000069.1,1
GCA_012137425.1,AARSWK010000073.1,1
GCA_028601785.1,SYXT01000049.1,0
GCA_031304415.1,CAWNAU010000042.1,0
GCA_012058825.1,AARNMV010000039.1,1
GCA_022363515.1,AATDII010000032.1,0
GCA_018777645.1,ABQPJP010000094.1,0
GCA_012323985.1,ABQIFG010000063.1,0
GCA_021510595.1,ABERHE010000071.1,1
GCA_012125035.1,ABGZVI010000034.1,0
GCA_031819855.1,DAPOXZ010000019.1,1
GCA_028672225.1,AARLXM010000031.1,0
GCA_006233745.1,SQCW01000256.1,1
GCA_020373285.1,ABDBYS010000063.1,1
GCA_958309145.1,AARDNG010000085.1,0
GCA_012668605.1,AASVGH010000047.1,1
GCA_964006015.1,AARQYL010000086.1,0
GCA_911104115.1,ABGUWZ010000030.1,0
GCA_025726385.1,DAJOVC010000154.1,1
GCA_038441755.1,ABRWGK010000037.1,1
GCA_019355635.1,JADPVP010000021.1,0
GCA_012812595.1,AATHWM010000066.1,1
GCA_029125525.1,JABCMN010000031.1,0
GCA_020563865.1,ABDJFC010000030.1,1
GCA_001054845.1,JVMZ01000262.1,1
GCA_025055615.1,AARKZU010000036.1,0
GCA_012360785.1,AASIHK010000059.1,1
GCA_012474615.1,AARTVS010000053.1,0
GCA_009880605.1,WSJW01000019.1,1
GCA_016837685.1,JAFCNF010000007.1,1
GCA_033390395.1,ABOQCD010000034.1,1
GCA_903977325.1,CAJDGP010000046.1,1
GCA_022593435.1,DAJNWJ010000107.1,0
GCA_034297675.1,ABPJUC010000031.1,1
GCA_014273825.1,AAVNLP010000032.1,1
GCA_020512095.1,AAVVFR010000060.1,0
GCA_021453145.1,DAFLPU010000020.1,1
GCA_017057235.1,AAZACZ010000088.1,1
GCA_029412875.1,DAOBYC010000044.1,1
GCA_018834525.1,ABAUGV010000039.1,1
GCA_020661025.1,ABDNYY010000075.1,1
GCA_033325325.1,DADZLE010000062.1,0
GCA_012435315.1,AASGBP010000032.1,0
GCA_012115695.1,AARRHD010000031.1,1
GCA_028786885.1,AARPRD010000077.1,0
GCA_026512345.1,ABJORK010000066.1,1
GCA_023881125.1,ABBZTO010000056.1,0
GCA_011842645.1,AAYOCK010000103.1,0
GCA_024458955.1,JAMSJJ010000020.1,0
GCA_019404265.1,AAREYS010000057.1,0
GCA_011869325.1,AARAVQ010000057.1,1
GCA_014571595.1,AAWBPC010000048.1,1
GCA_019555755.1,ABBVIY010000073.1,1
GCA_030933215.1,ABLRZX010000031.1,1
GCA_014954665.1,CADGTF010000081.1,0
GCA_018021875.1,AAVVHX010000066.1,0
GCA_032737885.1,ABOERA010000055.1,0
GCA_015340805.1,JAGUHT010000062.1,0
GCA_020170635.1,AAVKPG010000038.1,0
GCA_012039715.1,AATHAB010000030.1,0
GCA_003028115.1,DAHBJK010000047.1,0
GCA_011949885.1,AARGPY010000095.1,1
GCA_001284005.1,CXZU01000056.1,1
GCA_033942985.1,ABPYHF010000024.1,0
GCA_031235115.1,JAIMZS010000173.1,0
GCA_015317065.1,AASQGR010000086.1,0
GCA_025620485.1,ABMZPA010000051.1,0
GCA_031661375.1,ABMPJJ010000060.1,1
GCA_025757275.1,ABIXFY010000064.1,1
GCA_012431645.1,AATBTW010000065.1,0
GCA_013704665.1,ABMOGQ010000018.1,0
GCA_018159255.1,ABCCKX010000039.1,0
GCA_022506425.1,AARHYF010000033.1,0
GCA_012190585.1,ABBAXN010000030.1,0
GCA_023801075.1,ABGQMR010000056.1,1
GCA_012851635.1,AATKAQ010000042.1,1
GCA_038456015.1,AARAYU010000035.1,0
GCA_012011565.1,AARKWW010000072.1,1
GCA_011903065.1,JBBPGN010000048.1,0
GCA_012703925.1,RRHR01000078.1,0
GCA_012691345.1,ABJFOU010000030.1,0
GCA_012485315.1,AARHGA010000034.1,0
GCA_015157535.1,AAWXUO010000038.1,1
GCA_012145005.1,AARTJH010000063.1,1
GCA_012726535.1,JAEGFL010000023.1,0
GCA_025280595.1,AAXJXF010000048.1,0
GCA_011804145.1,AAQWJU010000031.1,1
GCA_961210635.1,AATAUW010000060.1,0
GCA_023097525.1,JALMBN010000037.1,1
GCA_002319165.1,NWAI01000076.1,1
GCA_014863025.1,AAWXQA010000055.1,0
GCA_011855005.1,CADGHP010000067.1,0
GCA_011934145.1,ABCAQP010000029.1,0
GCA_012146865.1,AARTML010000045.1,1
GCA_012084115.1,JAGMJY010000072.1,0
GCA_021281845.1,ABELGX010000067.1,1
GCA_026669495.1,ABJRGA010000033.1,1
GCA_014964315.1,JAGFFE010000058.1,0
GCA_011858485.1,DAJZLQ010000039.1,0
GCA_014823235.1,DABWYH010000080.1,1
GCA_014355855.1,AAVQLY010000054.1,1
GCA_023097385.1,DALOMP010000019.1,0
GCA_017757165.1,AATPVV010000050.1,0
GCA_031720575.1,DAPJPW010000053.1,0
GCA_026522595.1,AARCMB010000048.1,0
GCA_012481075.1,ABQLVB010000080.1,0
GCA_023886425.1,AASHTI010000059.1,0
GCA_020547905.1,JALMBF010000023.1,0
GCA_027986615.1,AARCBR010000029.1,0
GCA_011824365.1,AARAKH010000031.1,0
GCA_028616795.1,JAQMZB010000072.1,1
GCA_011858645.1,AARABP010000069.1,1
GCA_012588185.1,AASVBJ010000046.1,1
GCA_012333705.1,ABQNBT010000064.1,0
GCA_012749235.1,DABCRE010000063.1,1
GCA_018685295.1,AAQYPH010000033.1,0
GCA_012567025.1,ABGXIH010000034.1,0
GCA_012306685.1,AASFTI010000047.1,1
GCA_011843665.1,AAQYYL010000031.1,1
GCA_024387845.1,JAJKPG010000049.1,1
GCA_012200045.1,ABBTZM010000074.1,0
GCA_028524535.1,JAOQCU010000050.1,1
GCA_037891665.1,JAKVYN010000002.1,0
GCA_003113635.1,JHSH01000050.1,0
GCA_014917675.1,AAWMJP010000075.1,1
GCA_012782975.1,DAJGBK010000092.1,0
GCA_025889495.1,AASACD010000026.1,0
GCA_030759475.1,AATRDM010000062.1,0
GCA_012796435.1,AATHCR010000117.1,1
GCA_021079865.1,AAQXGD010000030.1,0
GCA_012357255.1,ABLVRS010000074.1,0
GCA_020435465.1,AARHDT010000141.1,0
GCA_025474435.1,ABIMZO010000030.1,1
GCA_014751305.1,AAWIGL010000116.1,1
GCA_012112875.1,AARRBY010000037.1,1
GCA_012446625.1,ABCZLV010000060.1,0
GCA_033684535.1,JAWNAX010000152.1,1
GCA_031911665.1,ABMWNP010000039.1,1
GCA_011837885.1,DAIGFD010000045.1,0
GCA_016021595.1,AAXUWO010000037.1,1
GCA_012741595.1,AATEEM010000133.1,1
GCA_023686645.1,DAHJVB010000052.1,1
GCA_031081485.1,AAYTSR010000036.1,0
GCA_016547115.1,DADBOT010000065.1,1
GCA_011896705.1,AARDAB010000098.1,1
GCA_032640285.1,ABNTII010000038.1,1
GCA_011831535.1,ABKGTZ010000034.1,0
GCA_028638975.1,AATBMT010000030.1,0
GCA_958315905.1,CATSHL010000007.1,1
GCA_012122365.1,AARECY010000031.1,0
GCA_032780125.1,ABNYUW010000103.1,1
GCA_012756755.1,DAGHGL010000066.1,0
GCA_029122985.1,CATXQA010000030.1,0
GCA_017736295.1,DADSAU010000044.1,1
GCA_022971375.1,JAGMRC010000071.1,1
GCA_011932465.1,AARFJR010000066.1,1
GCA_024335145.1,ABHEFB010000066.1,1
GCA_020548065.1,ABDIRR010000031.1,1
GCA_031809375.1,CATRTW010000111.1,0
GCA_902708185.2,CACSRF020000045.1,1
GCA_025331965.1,AAVUJI010000073.1,0
GCA_011803725.1,AAQWKD010000048.1,1
GCA_012072245.1,ABOWTN010000040.1,0
GCA_011897085.1,AARDBP010000072.1,1
GCA_038508255.1,ABRPNV010000032.1,0
GCA_009768205.1,RMKK02000108.1,0
GCA_021861045.1,JAFCNN010000023.1,0
GCA_025163255.1,JAEGPI010000036.1,0
GCA_028403765.1,AAZHKG010000050.1,0
GCA_012730195.1,DABCUE010000062.1,0
GCA_011845305.1,AAQZBX010000031.1,1
GCA_015699355.1,ABGATH010000070.1,0
GCA_029518995.1,ABHODX010000059.1,0
GCA_011887045.1,JAWFRA010000027.1,0
GCA_000249695.2,AIGA01000018.1,1
GCA_012353825.2,NEMJ01000082.1,0
GCA_011928845.1,AARFCX010000050.1,1
GCA_029586755.1,JAFHGV010000056.1,0
GCA_016737075.1,ABNZLJ010000037.1,0
GCA_019109665.1,ABBCVK010000089.1,1
GCA_030007345.1,JAAQMT010000118.1,1
GCA_012421385.1,AASLUI010000077.1,1
GCA_033047015.1,ABOJLW010000046.1,1
GCA_033201535.1,ABOMXJ010000037.1,1
GCA_011925865.1,AASRAL010000065.1,0
GCA_012714745.1,AATCON010000057.1,1
GCA_012555805.1,AASBOY010000063.1,0
GCA_023192415.1,AASPAR010000030.1,0
GCA_012039495.1,ABCOBJ010000031.1,0
GCA_011866385.1,AARCED010000150.1,0
GCA_011917845.1,JAAULZ010000043.1,0
GCA_018343175.1,AASUYQ010000042.1,0
GCA_002766875.1,BEQF01000031.1,1
GCA_026968955.1,ABJVZD010000075.1,1
GCA_015202775.1,NJYF01000072.1,0
GCA_016901505.1,JAFEVJ010000052.1,1
GCA_012156205.1,AARUCY010000037.1,1
GCA_002521215.1,AARIFS010000049.1,0
GCA_021003495.1,AASGXD010000029.1,0
GCA_022436945.1,JAXRHN010000196.1,0
GCA_012760055.1,LQVN01000272.1,0
GCA_012421205.1,AASLTY010000059.1,1
GCA_012200025.1,AARYDE010000054.1,1
GCA_012235055.1,AARWZM010000077.1,1
GCA_025096865.1,AATISM010000054.1,0
GCA_032206605.1,ABNCRO010000034.1,1
GCA_013488245.1,DAJHBX010000097.1,0
GCA_019049045.1,DAKCRX010000061.1,0
GCA_030199795.1,DAERFW010000079.1,0
GCA_012153525.1,PYSF01000049.1,0
GCA_024970665.1,NSEL01000191.1,0
GCA_030199875.1,JARILD010000058.1,1
GCA_025706825.1,DAJOXG010000108.1,1
GCA_012437215.1,AASNDZ010000031.1,1
GCA_014741735.1,ABCJUW010000062.1,0
GCA_026764975.1,ABJSZD010000069.1,1
GCA_021468445.1,DAFLXA010000131.1,1
GCA_014185775.1,ABEFJU010000063.1,0
GCA_019230685.1,DAESYB010000057.1,1
GCA_003010235.1,PGLH01000067.1,1
GCA_020619515.1,FBUN01000068.1,0
GCA_002319165.1,ABJOMH010000067.1,0
GCA_025302695.1,ABISFU010000032.1,0
GCA_011895625.1,AARCYH010000029.1,1
GCA_019867465.1,ABCGVC010000069.1,1
GCA_017725015.1,AAZSTB010000051.1,1
GCA_027845675.1,ABKCSH010000033.1,1
GCA_012690325.1,AATAVW010000033.1,1
GCA_013352725.1,SNJE01000042.1,1
GCA_020820075.1,AARQER010000034.1,0
GCA_005043095.1,RRJT01000063.1,1
GCA_012463345.1,AASOQP010000032.1,1
GCA_958429955.1,CAUAMB010000053.1,1
GCA_003738445.2,AAREGU010000031.1,0
GCA_027795055.1,ABKBSO010000049.1,1
GCA_011923025.1,ABJFOE010000069.1,0
GCA_017270415.1,AATCQN010000046.1,0
GCA_019727765.1,JAFMWY010000065.1,0
GCA_019876545.1,AATKAQ010000042.1,0
GCA_012672665.1,ABCYUI010000072.1,0
GCA_012735655.1,RLKB02000050.1,0
GCA_019939335.1,AASBRZ010000094.1,0
GCA_024784025.1,ABMRYV010000030.1,0
GCA_015442385.1,AAXFWL010000032.1,1
GCA_900450185.1,JAJODO010000059.1,0
GCA_012225545.1,AASAFF010000034.1,1
GCA_012456245.1,ABQWLL010000050.1,0
GCA_023194115.1,DAFMEZ010000092.1,0
GCA_015160215.1,JAGUHT010000062.1,0
