host_accession	phage_contig	interaction
GCA_012401045.1	LDXE02000015.1	0
GCA_015674775.1	AARMCU010000068.1	0
GCA_001937985.1	ABCAQP010000029.1	0
GCA_003775105.1	DAAYTB010000054.1	0
GCA_958337845.1	CATVNU010000029.1	1
GCA_035967155.1	JAYWMW010000075.1	1
GCA_025492105.1	DAJKYF010000127.1	1
GCA_958303905.1	CATQOS010000010.1	1
GCA_012080475.1	AAUMZK010000045.1	0
GCA_000462045.2	AVQW01000024.1	1
GCA_011957625.1	AASBMC010000032.1	0
GCA_012581815.1	AASUQX010000063.1	1
GCA_001521095.1	LQVN01000272.1	1
GCA_015160605.1	JH954800.1	0
GCA_032362265.1	AASKHO010000005.1	0
GCA_023192415.1	DAHBOO010000071.1	1
GCA_964007155.1	CAXFXY010000018.1	1
GCA_001038025.1	LEKZ01000137.1	1
GCA_902505465.1	CABWJT010000076.1	1
GCA_958331365.1	ABDEZU010000030.1	0
GCA_021421665.1	ABOMPR010000023.1	0
GCA_033969905.1	DABSYF010000054.1	0
GCA_002133585.1	NEMX01000036.1	1
GCA_000264115.1	AJWQ01000121.1	1
GCA_012646845.1	AASYRX010000030.1	1
GCA_012555805.1	ABJFOZ010000030.1	0
GCA_012021945.1	AARLRZ010000030.1	1
GCA_011919045.1	AAREMS010000045.1	1
GCA_018175075.1	DADZZG010000006.1	1
GCA_958401615.1	CATXQJ010000034.1	1
GCA_958337245.1	DAHBHG010000051.1	0
GCA_000798515.1	JUDN01000090.1	1
GCA_000703205.1	AARSPO010000102.1	0
GCA_036712805.1	ABQIFG010000063.1	1
GCA_902844685.1	CADGWI010000038.1	1
GCA_012724875.1	RNDF02000032.1	0
GCA_014709775.1	DABUYE010000065.1	1
GCA_000335355.2	AARYNB010000034.1	0
GCA_012558145.1	ABPVIY010000031.1	0
GCA_000622815.1	JHLV01000064.1	1
GCA_001286505.1	ABBNIT010000031.1	0
GCA_001286185.1	CYCM01000071.1	1
GCA_002001885.1	MOYW01000072.1	1
GCA_000936125.1	LM996628.1	1
GCA_958315405.1	CATSFN010000031.1	1
GCA_028049825.1	DAMWIT010000049.1	1
GCA_018429125.1	JAGUHT010000062.1	1
GCA_028651615.1	DABVKJ010000088.1	0
GCA_014816205.1	DABWRA010000138.1	1
GCA_019579025.1	ABBWZQ010000083.1	1
GCA_011888265.1	AARCDP010000086.1	1
GCA_011888265.1	AARCDP010000056.1	1
GCA_958401615.1	ABQIZH010000040.1	0
GCA_018071585.1	FBUU01000061.1	0
GCA_026722505.1	LPYS01000007.1	0
GCA_003358525.1	QONU01000068.1	1
GCA_020093655.1	ABCPTO010000068.1	1
GCA_012755435.1	AARSRJ010000030.1	0
GCA_012358695.1	AAVIEA010000032.1	0
GCA_902840585.1	AASAOC010000078.1	0
GCA_000615345.1	JHFP01000113.1	1
GCA_008273105.1	SJHJ01000017.1	1
GCA_002110545.1	DAGFWQ010000063.1	0
GCA_910592855.1	NJXW01000072.1	0
GCA_034236275.1	JAIWIQ010000047.1	0
GCA_024468595.1	ABHHPW010000033.1	1
GCA_000619405.1	JZMU01000065.1	0
GCA_000619765.2	PYSF01000049.1	0
GCA_001262905.1	AAYQIJ010000070.1	0
GCA_012035705.1	JAAUKX010000021.1	1
GCA_036948885.1	AAYSUO010000053.1	0
GCA_000778745.1	JSPX01000066.1	1
GCA_000171975.1	ABHR01000053.1	1
GCA_020621465.1	ABBUYG010000051.1	0
GCA_024302485.1	MTXO01000016.1	0
GCA_014437165.1	AAQXLS010000032.1	0
GCA_023190235.1	AASGRF010000041.1	0
GCA_015699025.1	JABWGA010000043.1	1
GCA_012987645.1	AASJYE010000035.1	0
GCA_012091755.1	AASVHB010000084.1	0
GCA_013068905.1	AATQTR010000114.1	1
GCA_026670475.1	ABADRI010000014.1	0
GCA_958336805.1	CATVJQ010000033.1	1
GCA_015160215.1	AAVQAI010000030.1	0
GCA_001609815.1	AASOJL010000046.1	0
GCA_016945795.1	JAHVSC010000083.1	0
GCA_024674585.1	DAJHIJ010000091.1	0
GCA_014519465.1	AAVYUR010000033.1	1
GCA_958327115.1	CATTYN010000052.1	1
GCA_000782815.1	JSST01000082.1	1
GCA_000326565.1	AARLRT010000031.1	0
GCA_019885185.1	DADZZC010000051.1	0
GCA_011903065.1	AARDTG010000066.1	1
GCA_011967385.1	AARIHE010000042.1	1
GCA_002290875.1	ABJIAJ010000063.1	0
GCA_918361065.1	CAKKCT010000042.1	1
GCA_023188615.1	DADZZG010000021.1	0
GCA_017180335.1	AAZETX010000036.1	1
GCA_001609815.1	LODF01000152.1	1
GCA_017163375.1	JAFJXF010000028.1	1
GCA_958401745.1	CATXQX010000086.1	1
GCA_013049185.1	AATPLU010000048.1	1
GCA_911103315.1	CAJVIS010000083.1	1
GCA_012235055.1	AARZZR010000061.1	0
GCA_900481885.1	UEKM01000011.1	1
GCA_025089665.1	ABPFBU010000033.1	0
GCA_018600515.1	DAHBJT010000008.1	0
GCA_024885255.1	ABHUQL010000070.1	1
GCA_018412025.1	AATHPR010000031.1	0
GCA_032411405.1	DAQBVP010000060.1	1
GCA_020385455.1	ABDCUC010000056.1	1
GCA_012690745.1	AASKVI010000086.1	0
GCA_002002075.1	CAJDKU010000038.1	0
GCA_032449175.1	JH700892.1	0
GCA_001571985.1	LPYJ01000135.1	1
GCA_012764875.1	AATFKX010000061.1	1
GCA_958312355.1	CATRTS010000055.1	1
GCA_015160605.1	JADDTC010000151.1	1
GCA_020375305.1	AASBXP010000052.1	0
GCA_012240545.1	JAJKMO010000059.1	0
GCA_014348535.1	AAVQCF010000079.1	1
GCA_001561735.1	LRWV01000055.1	1
GCA_012080475.1	DABIGR010000051.1	0
GCA_028755745.1	JAIQMQ010000027.1	1
GCA_002514095.1	AASNKI010000063.1	0
GCA_008273105.1	ABCHEE010000067.1	0
GCA_958331625.1	AASFVW010000060.1	0
GCA_020383375.1	ABDCPS010000072.1	1
GCA_026227745.1	JAMGVL010000042.1	1
GCA_958429955.1	AARCGK010000168.1	0
GCA_958337245.1	CATVLJ010000006.1	1
GCA_000418715.1	ATOB01000026.1	1
GCA_958401615.1	ABHFKL010000032.1	0
GCA_026255885.1	ABJFLQ010000030.1	0
GCA_002972255.1	ABCTDV010000046.1	0
GCA_001265885.1	JHSH01000050.1	1
GCA_011975705.1	AARICW010000224.1	1
GCA_023685925.1	DAHJUF010000063.1	1
GCA_003912995.2	DAKRJN010000135.1	0
GCA_006352165.1	ABHSXI010000048.1	0
GCA_016724445.1	AAYTSR010000036.1	1
GCA_002018815.2	AARRMF010000072.1	0
GCA_958337845.1	ABJYOE010000036.1	0
GCA_902843605.1	ABRBEP010000031.1	0
GCA_012602835.1	AASVZZ010000039.1	1
GCA_958312385.1	CATRTW010000085.1	1
GCA_946056485.1	CAMGJW010000048.1	1
GCA_032814165.1	ABOAQM010000039.1	1
GCA_958315405.1	CATSFN010000043.1	1
GCA_025036385.1	ABGUKM010000030.1	0
GCA_003357805.1	AAZJDL010000034.1	0
GCA_000622445.2	JHNT01000105.1	1
GCA_958327115.1	ABRTTO010000056.1	0
GCA_012493885.1	ABPXHC010000034.1	0
GCA_001893615.1	MOKB01000123.1	1
GCA_024674585.1	DAIUTA010000016.1	1
GCA_012060505.1	AARNMK010000051.1	1
GCA_012690745.1	AASFZI010000104.1	0
GCA_026227475.1	JAMGUW010000019.1	1
GCA_902843605.1	CADGSH010000146.1	1
GCA_014816205.1	AASIPJ020000044.1	0
GCA_031644695.1	AASGUT010000078.1	0
GCA_001748605.1	ABCYQN010000031.1	0
GCA_958430615.1	CAUAMX010000022.1	1
GCA_012390075.1	AASJTY010000047.1	1
GCA_004170665.1	SAEW01000049.1	1
GCA_020819635.1	JAPTPT010000019.1	0
GCA_012241335.1	AARXXV010000108.1	1
GCA_000951875.1	LM995692.1	1
GCA_012369795.1	AARALC010000041.1	0
GCA_001884895.1	MPGX01000207.1	1
GCA_002537485.1	AASRCE010000045.1	0
GCA_018175035.1	DADZZC010000029.1	1
GCA_025420695.1	JAODWH010000052.1	1
GCA_029362345.1	JAOYGE010000073.1	1
GCA_014467835.1	DABRII010000048.1	1
GCA_958312385.1	CATRTW010000084.1	1
GCA_002134275.1	NEMJ01000082.1	1
GCA_002230065.1	AARIRH010000041.1	0
GCA_958401745.1	AARPHV010000081.1	0
GCA_019821805.1	AASHOW010000066.1	0
GCA_902844685.1	ABGHIO010000036.1	0
GCA_028022785.1	DAMVWA010000048.1	1
GCA_001266405.1	JAINSI010000051.1	0
GCA_012555805.1	AASSUW010000121.1	1
GCA_011940265.1	AARFYQ010000055.1	1
GCA_000939955.1	ABOLNF010000033.1	0
GCA_026110335.1	ABJIAJ010000071.1	1
GCA_036863195.1	AARTQZ010000033.1	0
GCA_012690745.1	AATATM010000060.1	1
GCA_000335355.2	AOEL01000083.1	1
GCA_031309845.1	ABILLJ010000033.1	0
GCA_005385105.1	AASYJY010000030.1	0
GCA_958337245.1	ABAPBG010000033.1	0
GCA_012658675.1	AASJQI010000045.1	0
GCA_000941895.1	ABCJUP010000061.1	0
GCA_000749575.1	SNMK01000043.1	0
GCA_020271665.1	ABIHYI010000048.1	0
GCA_011967385.1	ABGKME010000044.1	0
GCA_016946535.1	CAMKMJ010000036.1	0
GCA_000249895.2	CAWNKQ010000294.1	0
GCA_000281775.1	AASGXU010000058.1	0
GCA_019181925.1	AASTNA010000043.1	0
GCA_000267505.2	JH697808.1	1
GCA_034236275.1	ABPIWM010000032.1	1
GCA_038076225.1	JARHOE010000058.1	1
GCA_005045625.1	RRFR01000055.1	1
GCA_012025425.1	ABAYWJ010000028.1	0
GCA_000249375.2	AIFK01000024.1	1
GCA_001462975.1	LNHR01000082.1	1
GCA_011949885.1	DAESYB010000057.1	0
GCA_964007155.1	AAVVOD010000067.1	0
GCA_015707615.1	AAXMAR010000046.1	1
GCA_023884895.1	JAMGVL010000043.1	0
GCA_000461975.2	AVQY01000020.1	1
GCA_020386685.1	AAQXAL010000036.1	0
GCA_002226175.1	NLHS01000330.1	1
GCA_012614265.1	AAZHUS010000042.1	0
GCA_958303905.1	CATQOS010000044.1	1
GCA_024772095.1	DAIVSF010000061.1	1
GCA_005043425.1	JAXLNA010000047.1	0
GCA_003775105.1	ROFL01000086.1	1
GCA_001615675.1	AAWWIV010000079.1	0
GCA_005385105.1	BFMQ01000222.1	1
GCA_017775875.1	ABGKWH010000027.1	0
GCA_002456295.1	AARVJS010000036.1	0
GCA_002175465.1	JZBM01000073.1	1
GCA_002164335.1	NFRU01000036.1	1
GCA_911104115.1	CAJVKJ010000034.1	1
GCA_023097725.1	ABROUP010000064.1	0
GCA_012648145.1	DABSYZ010000097.1	0
GCA_021082665.1	JAHVTW010000055.1	1
GCA_038027765.1	ABRPVZ010000045.1	1
GCA_036956265.1	NAFV01000136.1	0
GCA_026723485.1	DAKSAK010000073.1	1
GCA_000753215.1	JAYXKY010000070.1	0
GCA_002232115.1	NLUK01000060.1	1
GCA_015389625.1	JABKEX010000313.1	1
GCA_000781855.1	JSQX01000111.1	1
GCA_019080665.1	ABBBQW010000073.1	1
GCA_012235055.1	JAKYQM010000058.1	0
GCA_012059965.1	AARNPG010000061.1	1
GCA_012690745.1	AATATM010000044.1	1
GCA_000316845.2	WEQI01000062.1	0
GCA_020304605.1	AARTKT010000035.1	0
GCA_014327405.1	JACFLC010000026.1	1
GCA_002166565.1	NIEV01000070.1	1
GCA_011967385.1	AKMN01000024.1	0
GCA_000263955.1	ABFJRJ010000118.1	0
GCA_018175035.1	DADZZC010000035.1	1
GCA_038385665.1	SZLP01000043.1	0
GCA_014816205.1	DABWRA010000212.1	1
GCA_000618985.2	JHKA01000126.1	1
GCA_012714745.1	BFIS01000099.1	0
GCA_035967155.1	JAYWMW010000080.1	1
GCA_958316795.1	CATSKV010000028.1	1
GCA_000781605.1	JAEGSP010000051.1	0
GCA_000936125.1	JAMRDP010000063.1	0
GCA_018561575.1	DAMVWA010000045.1	0
GCA_000987535.1	JAXACR010000045.1	0
GCA_021148205.1	AASQUE010000071.1	0
GCA_012302805.1	AAZETX010000068.1	0
GCA_005038625.1	DAPYVG010000050.1	0
GCA_911103945.1	CAJVJO010000055.1	1
GCA_012792235.1	JASN01000014.1	0
GCA_011958825.1	ABCXTE010000047.1	0
GCA_022489375.1	ABCBOF010000056.1	0
GCA_005387065.1	AARMCU010000068.1	0
GCA_001614555.1	ABCYCH010000023.1	0
GCA_009880505.1	WSJS01000017.1	1
GCA_013075875.1	ABQGFD010000070.1	0
GCA_028054095.1	CXZQ01000052.1	0
GCA_016742635.1	DAPQMK010000057.1	0
GCA_000703205.1	JASN01000014.1	1
GCA_014365885.1	ABNSTZ010000111.1	0
GCA_012067195.1	DADFJY010000146.1	0
GCA_017739435.1	AARREQ010000053.1	0
GCA_016118535.1	DACZAO010000076.1	1
GCA_012060505.1	AARLUU010000114.1	0
GCA_029619395.1	MPHA01000089.1	0
GCA_958327115.1	CATTYN010000040.1	1
GCA_031309845.1	ABMDIU010000035.1	1
GCA_025120635.1	ABIFDT010000035.1	0
GCA_012118535.1	AARRMF010000072.1	1
GCA_024385905.1	CATTVH010000024.1	0
GCA_958312385.1	ABKIIJ010000031.1	0
GCA_034540955.1	JAVMQB010000021.1	0
GCA_014816205.1	DAFMGL010000059.1	0
GCA_020978485.1	JAKYHB010000016.1	0
GCA_015699025.1	WSKE01000024.1	0
GCA_014897685.1	AATCXO010000060.1	0
GCA_900481885.1	WTRB01000042.1	0
GCA_000714995.1	ABROFG010000051.1	0
GCA_025880925.1	JAATDF010000058.1	0
GCA_000304835.2	AMTN01000229.1	1
GCA_958401535.1	NKPL01000083.1	0
GCA_902841405.1	JAPUPW010000024.1	0
GCA_023192235.1	AATAOA010000032.1	0
GCA_026512345.1	CYFV01000045.1	0
GCA_002521215.1	NOSC01000033.1	1
GCA_000511545.1	AARQCX010000041.1	0
GCA_020315195.1	ABCYRZ010000057.1	1
GCA_027986615.1	ABISYR010000034.1	0
GCA_002514855.1	DAJWTN010000064.1	0
GCA_035790515.1	ABGCJO010000080.1	0
GCA_001284225.1	CYFV01000045.1	1
GCA_014991765.1	JACXPV010000073.1	1
GCA_910592685.1	AASOJL010000046.1	0
GCA_002972075.1	DAGUYG010000020.1	0
GCA_032640265.1	AAXLMH010000031.1	0
GCA_011832815.1	AAQYFY010000042.1	1
GCA_905398295.1	CADGKA010000120.1	0
GCA_958326355.1	CATTVH010000024.1	1
GCA_014855825.1	VKMP01000056.1	1
GCA_023097745.1	JALMBY010000038.1	1
GCA_018175035.1	ABFSOV010000032.1	0
GCA_012558145.1	JAFJXF010000103.1	0
GCA_035967485.1	CAUAMX010000011.1	0
GCA_023097725.1	DAEGQU010000035.1	0
GCA_025700005.1	JAGMTB010000070.1	0
GCA_000462065.2	ABNSTZ010000111.1	0
GCA_012118535.1	ABCYXB010000049.1	0
GCA_020820075.1	DAJAOV010000022.1	0
GCA_014816205.1	DABWRA010000201.1	1
GCA_021454005.1	DAFLMQ010000033.1	1
GCA_002229875.1	NTIH01000019.1	0
GCA_028923585.1	DAPKYA010000057.1	0
GCA_015389625.1	ABACDE010000049.1	0
GCA_018175035.1	DADZZC010000039.1	1
GCA_000695175.1	DAAYZC010000018.1	0
GCA_948144475.1	DAPKYA010000057.1	0
GCA_958303905.1	AARLHO010000027.1	0
GCA_023719455.1	JAKYQM010000058.1	1
GCA_022664555.1	LGMX01000042.1	0
GCA_012140705.1	JAXKXC010000043.1	0
GCA_000819375.1	JARHOE010000058.1	0
GCA_011940265.1	LKPL01000258.1	0
GCA_002462675.1	AAZTTS010000037.1	0
GCA_958327115.1	FBUU01000051.1	0
GCA_020787895.1	ABDSUT010000055.1	1
GCA_023641935.1	DAERCZ010000071.1	0
GCA_030390635.1	AARSPO010000102.1	0
GCA_026227475.1	JAVMQB010000021.1	0
GCA_024354165.1	ABMNXN010000055.1	0
GCA_017163375.1	JAFJXF010000103.1	1
GCA_014065605.1	AARRFB010000029.1	0
GCA_017119045.1	AAZCJG010000042.1	1
GCA_014709535.1	NODD01000048.1	0
GCA_017839615.1	JACXPV010000073.1	0
GCA_000619025.1	ABCXCY010000058.1	0
GCA_011906005.1	LPYJ01000135.1	0
GCA_018096105.1	ABAECE010000050.1	1
GCA_012493885.1	DABAGA010000117.1	1
GCA_020323815.1	AAYXIT010000032.1	0
GCA_002461405.1	ABGCDL010000070.1	0
GCA_024844305.1	ABHSAB010000059.1	1
GCA_018175075.1	DADZZG010000021.1	1
GCA_910592855.1	CAJVAB010000043.1	1
GCA_018131525.1	ABAFQC010000095.1	1
GCA_016698105.1	LPYM01000272.1	0
GCA_000619405.1	JHHW01000033.1	1
GCA_015337145.1	AARLUU010000133.1	0
GCA_958304905.1	VZGX01000069.1	0
GCA_003591355.1	JAVMPS010000022.1	0
GCA_001286225.1	CXZQ01000052.1	1
GCA_011839185.1	AAQYRB010000042.1	1
GCA_024674585.1	DAIUTA010000011.1	1
GCA_017180335.1	AAZETX010000068.1	1
GCA_020819635.1	JAJHOF010000006.1	1
GCA_000267525.2	JH700892.1	1
GCA_031731715.1	ABABMO010000067.1	0
GCA_000947945.1	LYAA01000666.1	0
GCA_012669625.1	ABIGFX010000032.1	0
GCA_000503255.1	JHFN01000164.1	0
GCA_012024145.1	AARLUU010000133.1	1
GCA_017163375.1	DAOFPB010000052.1	0
GCA_025089665.1	AAWIUF010000046.1	0
GCA_011920625.1	JHNT01000105.1	0
GCA_002971255.1	AATIIW010000041.1	0
GCA_012059965.1	ABLYGM010000065.1	0
GCA_002456855.1	KE375503.1	0
GCA_014807945.1	JHFP01000113.1	0
GCA_024784765.1	DAFLJA010000056.1	0
GCA_018175035.1	DAFARZ010000042.1	0
GCA_022944515.1	ABFSOV010000032.1	1
GCA_018683135.1	CATTYN010000054.1	0
GCA_958313835.1	ADJB01000024.1	0
GCA_021047625.1	DAFGMN010000015.1	1
GCA_001572135.1	LPYS01000007.1	1
GCA_019549115.1	ABBUYG010000051.1	1
GCA_012886255.1	AATLDC010000065.1	1
GCA_028651615.1	JAPTPT010000019.1	1
GCA_019844455.1	CATXQJ010000032.1	0
GCA_019821805.1	ABCFDQ010000043.1	1
GCA_000704045.1	ADJB01000022.1	0
GCA_002475235.1	JAYWMU010000070.1	0
GCA_002231015.1	AARZZR010000061.1	0
GCA_011869105.1	AARTQZ010000033.1	0
GCA_000616265.1	ABABMO010000067.1	0
GCA_029586215.1	JAGMTB010000070.1	0
GCA_012020665.1	AARLOH010000089.1	1
GCA_958327115.1	CATTYN010000054.1	1
GCA_009775905.1	DAJQJJ010000118.1	0
GCA_005394065.1	NKPL01000083.1	0
GCA_013422645.1	DAJXAP010000059.1	0
GCA_012145005.1	WSKE01000019.1	0
GCA_009798535.1	WTRB01000042.1	1
GCA_946665645.1	QYZH01000057.1	0
GCA_027986615.1	JAPMGI010000047.1	1
GCA_036458665.1	ABQDOF010000035.1	1
GCA_014437165.1	CAJVKJ010000034.1	0
GCA_031093185.1	ABLYDB010000038.1	1
GCA_000326965.1	JAPMGI010000041.1	0
GCA_001263065.1	ABJDKQ010000048.1	0
GCA_024440295.1	DAIIQH010000064.1	1
GCA_019003105.1	ABCYRZ010000057.1	0
GCA_000267065.1	ABMDIU010000035.1	0
GCA_000615385.1	LVQW01000033.1	0
GCA_012772875.1	AAVVNK010000072.1	0
GCA_017180335.1	JARHOE010000058.1	0
GCA_030785505.1	DAOWXV010000068.1	1
GCA_028022785.1	AWFJ01000109.1	0
GCA_036669735.1	ABQHDI010000029.1	1
GCA_002099625.1	NAFV01000136.1	1
GCA_026190035.1	DAJWTN010000064.1	1
GCA_903980815.1	AATIIW010000041.1	0
GCA_012602835.1	ABDMLU010000105.1	0
GCA_012690745.1	DANALK010000044.1	0
GCA_018166135.1	ABOUNR010000034.1	0
GCA_037967695.1	AAXAGB010000030.1	0
GCA_025881525.1	JHFP01000113.1	0
GCA_036863195.1	JAYXLB010000042.1	1
GCA_020304605.1	ABCXZK010000024.1	1
GCA_012016485.1	AARLHO010000027.1	1
GCA_012474735.1	AASPHT010000115.1	1
GCA_958330885.1	DADFJY010000146.1	0
GCA_001521095.1	ABFKJI010000043.1	0
GCA_012021945.1	ABATVX010000050.1	0
GCA_012581815.1	CATVLJ010000042.1	0
GCA_905397565.1	CAJPVV010000007.1	1
GCA_000249195.2	JZME01000038.1	0
GCA_017687575.1	CADGGW010000061.1	0
GCA_012646845.1	AASHAW010000045.1	0
GCA_900016115.1	FBUU01000061.1	1
GCA_958327115.1	AATDII010000032.1	0
GCA_001039145.2	LDXE02000015.1	1
GCA_014892095.1	AAWLNL010000053.1	1
GCA_958315845.1	AARFBX010000032.1	0
GCA_023719455.1	AATATM010000044.1	0
GCA_020621465.1	ABDMLU010000105.1	1
GCA_020286615.1	ABCXCY010000058.1	1
GCA_014816205.1	ABLBPT010000041.1	0
GCA_002973135.1	JZQG01000013.1	1
GCA_012016485.1	DAIUTA010000011.1	0
GCA_003907135.1	ABCFDQ010000043.1	0
GCA_017163375.1	AASHAW010000045.1	0
GCA_002232115.1	JAKVYJ010000013.1	0
GCA_012474735.1	CATRTW010000073.1	0
GCA_017739435.1	AAZTDU010000061.1	1
GCA_003591905.1	NTIH01000019.1	1
GCA_902849825.1	CADHQE010000142.1	1
GCA_013126715.1	AATYBP010000059.1	0
GCA_020093655.1	ABLBPT010000041.1	0
GCA_020910645.1	WSJS01000017.1	0
GCA_020300065.1	AAZHUS010000042.1	0
GCA_038028985.1	ABACWY010000069.1	0
GCA_011945645.1	DAIUTA010000016.1	0
GCA_025089665.1	KB732134.1	0
GCA_006235755.1	AASSUW010000095.1	0
GCA_011919845.1	JABWGA010000043.1	0
GCA_028167665.1	ABGCDL010000070.1	0
GCA_031094865.1	ABGQWQ010000035.1	0
GCA_028049825.1	DABAGA010000117.1	0
GCA_000781235.1	JSOM01000039.1	1
GCA_958430615.1	CAUAMX010000011.1	1
GCA_002155385.1	MUKE01000033.1	1
GCA_014437165.1	AARHWU010000047.1	0
GCA_005387465.1	JAYXLB010000042.1	0
GCA_012764875.1	AATFKX010000071.1	1
GCA_018131525.1	ABAFQC010000073.1	1
GCA_911103315.1	ABEFJU010000053.1	0
GCA_000462305.2	AAZTDU010000032.1	0
GCA_958401745.1	AAZTTS010000037.1	0
GCA_035967485.1	AAZTDU010000061.1	0
GCA_012434855.1	AASMWH010000056.1	1
GCA_012066235.1	AARNMK010000070.1	0
GCA_958401615.1	CATXQJ010000032.1	1
GCA_036948885.1	JAQNHW010000030.1	1
GCA_012506895.1	ABICHZ010000063.1	0
GCA_004170665.1	ABCQGH010000027.1	0
GCA_958331365.1	CATUOS010000028.1	1
GCA_014436445.1	CATRZM010000061.1	0
GCA_029716885.1	ABLMNL010000052.1	1
GCA_012623085.1	AAVFWD010000051.1	0
GCA_031731715.1	DAGUYG010000020.1	0
GCA_021148205.1	ABEVLR010000047.1	0
GCA_014213745.1	AAQYRB010000021.1	0
GCA_027553225.1	JSOM01000039.1	0
GCA_011944185.1	AARGIB010000082.1	1
GCA_020375305.1	ABDCCM010000027.1	1
GCA_958312385.1	ABOBFA010000041.1	0
GCA_958429675.1	DAPQMK010000057.1	0
GCA_002231885.1	LM996662.1	0
GCA_001911665.1	LGMX01000042.1	1
GCA_029619395.1	DAOFPB010000052.1	1
GCA_011945645.1	DAFGMN010000015.1	0
GCA_025280255.1	ABATVX010000050.1	0
GCA_000615225.2	ABJLKP010000034.1	0
GCA_012264875.1	ABQHDI010000029.1	0
GCA_001030585.1	WSKE01000024.1	0
GCA_017052025.1	LECI01000007.1	0
GCA_021051785.1	ABMDIU010000035.1	0
GCA_034326485.1	CACSZR020000025.1	0
GCA_012791535.1	DABDQM010000036.1	1
GCA_025585555.1	CATTYN010000040.1	0
GCA_001677645.2	LXIS02000042.1	1
GCA_012145005.1	JAHVLF010000034.1	0
GCA_012060505.1	AARNMK010000070.1	1
GCA_012060505.1	AARHOL010000085.1	0
GCA_017908875.1	JAQNHW010000030.1	0
GCA_958337245.1	ABHSAB010000059.1	0
GCA_002190835.1	LYAA01000666.1	1
GCA_002231195.1	NLRB01000048.1	1
GCA_000754845.1	AASQUJ010000034.1	0
GCA_030002255.1	JAATDF010000058.1	1
GCA_022550955.1	AARYDE010000054.1	0
GCA_020787895.1	AATDII010000032.1	0
GCA_017163635.1	AATATM010000024.1	0
GCA_900016115.1	AASWTP010000030.1	0
GCA_013537955.1	AATYBP010000059.1	1
GCA_018019635.1	ABABKP010000065.1	1
GCA_012542535.1	AASRXI010000096.1	1
GCA_029351405.1	DABUWY010000050.1	0
GCA_029090885.1	PYSF01000049.1	0
GCA_026679215.1	ABHSXI010000048.1	0
GCA_002486935.1	ABCBOF010000056.1	0
GCA_038110185.1	ABFKJI010000043.1	0
GCA_026411945.1	AASQUE010000071.1	0
GCA_014436445.1	AAVVDY010000054.1	1
GCA_031732115.1	JAKVYJ010000013.1	0
GCA_025173285.1	DAKRYO010000066.1	0
GCA_001283405.1	DAFARZ010000042.1	0
GCA_000797715.1	AATLYN010000056.1	0
GCA_011906005.1	AARDNG010000085.1	1
GCA_014437165.1	AAVVGC010000025.1	1
GCA_020300065.1	ABCXRN010000024.1	1
GCA_014709535.1	LM996988.1	0
GCA_012755435.1	AATEUD010000099.1	1
GCA_002001965.1	ABACWY010000069.1	0
GCA_958306355.1	ABCGVC010000081.1	0
GCA_012690745.1	AARUID010000097.1	0
GCA_034534135.1	DAEWME010000039.1	0
GCA_003591355.1	QYZH01000057.1	1
GCA_958336805.1	AASMWH010000056.1	0
GCA_021489295.1	DAFMGL010000059.1	1
GCA_003113735.1	JADDSM010000230.1	0
GCA_018683295.1	AATOEO010000076.1	0
GCA_015160215.1	JADDSM010000230.1	1
GCA_002510965.1	NMID01000081.1	1
GCA_026110335.1	AATCXO010000060.1	0
GCA_958312385.1	CATRTW010000073.1	1
GCA_012608575.1	AASRXI010000096.1	0
GCA_008273105.1	AAVQAI010000030.1	0
GCA_012024145.1	AARLUU010000114.1	1
GCA_019282655.1	JAHVLF010000034.1	1
GCA_902839895.1	DAOERP010000070.1	0
GCA_900016365.1	ABIVDU010000069.1	0
GCA_038076225.1	CAJRBL010000103.1	0
GCA_021421665.1	DAFLJA010000056.1	1
GCA_028021785.1	ABOLFJ010000054.1	0
GCA_018175075.1	AAXLMH010000031.1	0
GCA_002134745.1	NENR01000087.1	1
GCA_011920625.1	ABNQHM010000061.1	0
GCA_012555805.1	AASSUW010000095.1	1
GCA_020386685.1	AAYXIT010000032.1	0
GCA_026260745.1	MUKE01000033.1	0
GCA_012051325.1	DAJQUA010000077.1	0
GCA_014816205.1	DABWRA010000187.1	1
GCA_028022785.1	DAMVWA010000045.1	1
GCA_021715435.1	ABEVLR010000047.1	1
GCA_026255885.1	ABJLKP010000034.1	1
GCA_001607185.1	ABNQHM010000061.1	0
GCA_014185315.1	AAZHUS010000042.1	0
GCA_031093185.1	DADKRI010000076.1	0
GCA_012257465.1	AARMCB010000060.1	0
GCA_012401045.1	AASKHO010000005.1	1
GCA_004171205.1	LOIG01000001.1	0
GCA_002461395.1	NJWE01000096.1	1
GCA_018175035.1	DADZZC010000051.1	1
GCA_014709535.1	DABUWY010000050.1	1
GCA_012087275.1	LXIS02000042.1	0
GCA_011961845.1	AARHWU010000047.1	1
GCA_023041675.1	NOSC01000033.1	0
GCA_019844455.1	DABWRA010000201.1	0
GCA_036863195.1	DANALK010000044.1	0
GCA_025790525.3	ABGCJO010000080.1	0
GCA_011869105.1	AAZCJG010000042.1	0
GCA_021081095.1	JAHVSC010000083.1	1
GCA_910594935.1	ABMOXR010000040.1	0
GCA_958313835.1	CATRZM010000061.1	1
GCA_029502805.1	ABCYCH010000023.1	0
GCA_002001965.1	MOZB01000044.1	1
